employeeID,clientCompany,clientIndustry,startDate,endDate,jobTitle,payrate,markup,billrate,hours
1902,Ortiz-Maggio,n/a,11/30/2020,12/3/2020,Human Resources Assistant IV,29.36,22,35.82,20.4375327
1773,Schmidt Group,Finance Companies,10/16/2020,10/19/2020,Human Resources Assistant IV,11.51,34,15.42,20.58478309
1431,"Kirlin, Schroeder and Purdy",n/a,6/14/2020,6/17/2020,Electrical Engineer,29.96,34,40.15,20.79484207
1698,Veum Inc,Mining & Quarrying of Nonmetallic Minerals (No Fuels),9/21/2020,9/24/2020,Recruiter,7.71,43,11.03,20.94363703
1599,Ritchie-Stokes,Major Pharmaceuticals,8/17/2020,8/20/2020,Administrative Assistant IV,12.81,39,17.81,20.98131106
1772,"Rolfson, Bashirian and Lang",Biotechnology: Commercial Physical & Biological Resarch,10/16/2020,10/20/2020,Mechanical Systems Engineer,18.91,29,24.39,24.82072031
1581,Schmidt-Kunze,Telecommunications Equipment,8/11/2020,8/15/2020,General Manager,18.2,21,22.02,25.66544852
1738,Friesen Inc,n/a,10/2/2020,10/6/2020,Technical Writer,17.67,25,22.09,26.16259295
1012,Kilback LLC,Telecommunications Equipment,1/4/2020,1/8/2020,VP Quality Control,22.52,44,32.43,26.24794354
1862,"Renner, Goldner and Hahn",Restaurants,11/18/2020,11/22/2020,Nuclear Power Engineer,16.68,33,22.18,26.35700037
1605,"Skiles, Erdman and Cronin",Electric Utilities: Central,8/19/2020,8/23/2020,Staff Accountant I,26.67,45,38.67,27.6484612
1116,"Schowalter, Donnelly and Greenholt",Major Pharmaceuticals,2/12/2020,2/16/2020,Operator,26.62,29,34.34,28.13095184
1618,Schamberger and Sons,n/a,8/24/2020,8/28/2020,Project Manager,20.83,39,28.95,28.85032898
1633,Tillman-Hand,Oil Refining/Marketing,8/29/2020,9/2/2020,Account Executive,14.45,44,20.81,28.85115299
1614,Haley-Strosin,Metal Fabrications,8/22/2020,8/26/2020,Nuclear Power Engineer,21.05,27,26.73,29.45668806
1258,Mosciski-Yundt,Banks,4/9/2020,4/13/2020,Registered Nurse,14.09,37,19.30,29.62346581
1284,Hilll Inc,Precious Metals,4/18/2020,4/22/2020,Senior Editor,11.42,44,16.44,29.85500842
1580,Barton and Sons,Diversified Commercial Services,8/11/2020,8/16/2020,Senior Quality Engineer,23.74,20,28.49,30.78141704
1547,Gibson LLC,Real Estate Investment Trusts,7/26/2020,7/31/2020,Occupational Therapist,26.44,34,35.43,30.90378807
1273,Roob Group,n/a,4/14/2020,4/19/2020,Programmer Analyst II,9.84,43,14.07,31.32792671
1582,Ryan Group,Major Pharmaceuticals,8/11/2020,8/16/2020,Media Manager II,9.97,39,13.86,31.5025558
1790,Jenkins and Sons,Savings Institutions,10/22/2020,10/27/2020,Programmer III,15.05,39,20.92,31.57599021
1385,Baumbach-Gottlieb,Air Freight/Delivery Services,5/22/2020,5/27/2020,Librarian,16.03,39,22.28,32.35918485
1893,O'Keefe LLC,Biotechnology: Biological Products (No Diagnostic Substances),11/27/2020,12/2/2020,Human Resources Manager,8.46,28,10.83,33.71585691
1660,"Nicolas, Ryan and Wiza",Auto Manufacturing,9/7/2020,9/12/2020,Software Consultant,10.76,41,15.17,34.68821751
1752,Schmidt Inc,Advertising,10/9/2020,10/14/2020,Paralegal,8.97,28,11.48,35.40739961
1673,Nitzsche-Rodriguez,Real Estate Investment Trusts,9/11/2020,9/17/2020,Database Administrator I,20.93,28,26.79,36.70906667
1016,"Hirthe, Adams and Ruecker",Oil & Gas Production,1/6/2020,1/12/2020,Database Administrator I,28.46,27,36.14,36.73364583
1053,Dicki Inc,Electric Utilities: Central,1/17/2020,1/23/2020,Programmer I,16.27,41,22.94,37.17031591
1841,Nikolaus-Beatty,Metal Fabrications,11/11/2020,11/17/2020,Developer I,9.52,22,11.61,37.43131226
1365,"White, Maggio and Hettinger",Packaged Foods,5/15/2020,5/21/2020,Programmer II,26.55,37,36.37,37.99453083
1195,Murray Group,Telecommunications Equipment,3/16/2020,3/22/2020,Programmer II,16.76,34,22.46,38.30209871
1171,Mosciski-Watsica,Property-Casualty Insurers,3/7/2020,3/13/2020,Environmental Specialist,21.58,28,27.62,40.28110049
1575,Paucek Inc,Electric Utilities: Central,8/9/2020,8/15/2020,Compensation Analyst,10.58,40,14.81,40.68430422
1938,"Pfannerstill, O'Keefe and Bashirian",n/a,12/12/2020,12/18/2020,Analyst Programmer,25.25,41,35.60,40.99900498
1103,O'Conner LLC,Banks,2/8/2020,2/14/2020,Cost Accountant,27.96,30,36.35,41.1581737
1136,"Fisher, Kirlin and Dooley",Food Chains,2/21/2020,2/27/2020,Speech Pathologist,28.7,45,41.62,41.70707691
1810,Wolf Group,Diversified Commercial Services,10/29/2020,11/5/2020,Account Executive,27.02,29,34.86,42.02108121
1822,Homenick Inc,EDP Services,11/2/2020,11/9/2020,Developer I,13,45,18.85,42.77789217
1937,Kirlin-Hane,Oil Refining/Marketing,12/11/2020,12/18/2020,Senior Developer,22.76,30,29.59,42.93981394
1992,Beatty and Sons,Major Pharmaceuticals,12/28/2020,1/4/2021,Mechanical Systems Engineer,19.38,30,25.19,44.12744043
1914,Boehm-Parisian,EDP Services,12/5/2020,12/12/2020,Tax Accountant,22.66,34,30.36,44.68186663
1373,"Rowe, Johnson and Dickinson",Integrated oil Companies,5/17/2020,5/24/2020,Senior Cost Accountant,18.27,32,24.12,44.71421616
1590,"Farrell, Hand and Jacobson",Semiconductors,8/14/2020,8/21/2020,Nurse,16.2,35,21.87,45.96768387
1796,Lockman Group,Auto Parts:O.E.M.,10/24/2020,10/31/2020,Senior Cost Accountant,20.09,43,28.73,47.05609988
1498,Nicolas-Green,Finance: Consumer Services,7/8/2020,7/15/2020,VP Product Management,12.11,34,16.23,47.89484808
1367,"Mante, Conn and Funk",Major Banks,5/15/2020,5/22/2020,Legal Assistant,26.87,22,32.78,47.96560432
1969,Jaskolski Inc,Industrial Specialties,12/21/2020,12/29/2020,Developer I,13.14,22,16.03,48.898481
1873,Lueilwitz-Olson,n/a,11/21/2020,11/29/2020,Statistician III,11.53,41,16.26,49.26267429
1883,McGlynn LLC,Other Consumer Services,11/25/2020,12/3/2020,Nurse Practicioner,12.38,25,15.48,49.29193454
1884,Ruecker-Stamm,n/a,11/25/2020,12/3/2020,Assistant Media Planner,7.59,30,9.87,50.8636734
1074,"Renner, Bahringer and Olson",Oil & Gas Production,1/26/2020,2/3/2020,Assistant Media Planner,23.5,22,28.67,50.86820083
1704,Kuvalis LLC,n/a,9/22/2020,9/30/2020,Internal Auditor,28.44,42,40.38,52.3100207
1615,"Koepp, Bartell and Maggio",Major Pharmaceuticals,8/23/2020,8/31/2020,Financial Analyst,26.57,29,34.28,53.80326992
1361,Ward LLC,n/a,5/14/2020,5/23/2020,Accounting Assistant II,10.81,42,15.35,54.07586879
1445,Huel-Runolfsson,Business Services,6/19/2020,6/28/2020,Administrative Assistant III,12.46,42,17.69,54.987638
1585,"Nienow, Morar and Reichel",Business Services,8/12/2020,8/21/2020,Account Executive,24.67,39,34.29,55.08855379
1968,"Cronin, Trantow and Auer",n/a,12/21/2020,12/30/2020,Account Executive,23.89,36,32.49,55.46704738
1303,Wintheiser-Schneider,Medical/Dental Instruments,4/23/2020,5/2/2020,Dental Hygienist,10.93,24,13.55,55.76465462
1705,Ondricka Inc,Building Materials,9/22/2020,10/1/2020,Mechanical Systems Engineer,18.58,33,24.71,55.90146401
1782,Rosenbaum-Zulauf,n/a,10/20/2020,10/29/2020,Director of Sales,12.14,41,17.12,56.96808202
1758,Erdman and Sons,Major Pharmaceuticals,10/12/2020,10/21/2020,Safety Technician III,12.84,44,18.49,57.47908736
1769,"O'Connell, Gusikowski and Hauck",EDP Services,10/15/2020,10/24/2020,Environmental Tech,29.69,23,36.52,57.89265645
1318,"Jones, Kohler and Murazik",Mining & Quarrying of Nonmetallic Minerals (No Fuels),4/28/2020,5/7/2020,Quality Control Specialist,7.89,22,9.63,59.15957816
1335,Heaney-Gleason,Apparel,5/5/2020,5/14/2020,Civil Engineer,11.76,29,15.17,59.3707813
1877,Parker-Rowe,Consumer Electronics/Appliances,11/23/2020,12/2/2020,Safety Technician II,22.32,38,30.80,59.67095668
1984,"Tremblay, Muller and Hermiston",n/a,12/27/2020,1/5/2021,Web Developer I,19.13,38,26.40,59.74698176
1465,"Gutkowski, Beahan and VonRueden",Broadcasting,6/27/2020,7/7/2020,Legal Assistant,14.44,41,20.36,62.69962832
1180,"Heidenreich, O'Kon and Cummings","Computer Software: Programming, Data Processing",3/10/2020,3/20/2020,Professor,11.33,29,14.62,63.94648556
1941,"Hand, Bode and Nitzsche",Computer Software: Prepackaged Software,12/14/2020,12/24/2020,Marketing Assistant,15.16,26,19.10,64.39599436
1319,Rice-Hyatt,Specialty Chemicals,4/29/2020,5/9/2020,GIS Technical Architect,28.44,23,34.98,65.10355776
1449,"Carroll, Swaniawski and Dibbert",n/a,6/21/2020,7/2/2020,Financial Advisor,21.04,41,29.67,66.8955321
1972,"Leannon, O'Keefe and Gleichner",Oil & Gas Production,12/22/2020,1/2/2021,Paralegal,17.47,31,22.89,67.56443523
1629,"Oberbrunner, Beatty and Hudson",n/a,8/28/2020,9/8/2020,Legal Assistant,19.67,40,27.54,68.42865518
1630,"Heaney, Abshire and Lehner",Property-Casualty Insurers,8/29/2020,9/9/2020,Assistant Professor,16.7,40,23.38,68.77310517
1423,"Bergstrom, Goldner and Nienow",Major Pharmaceuticals,6/11/2020,6/22/2020,Clinical Specialist,13.95,33,18.55,69.13716671
1096,Larson-Fritsch,n/a,2/5/2020,2/16/2020,Teacher,14.41,43,20.61,69.92337257
1175,Ward-Lebsack,Clothing/Shoe/Accessory Stores,3/8/2020,3/19/2020,Sales Associate,19.22,43,27.48,70.03245079
1107,"Kreiger, Spencer and Roob",Food Distributors,2/8/2020,2/19/2020,Staff Accountant III,17.86,45,25.90,70.50880241
1173,"Eichmann, Pfannerstill and Hand",Catalog/Specialty Distribution,3/8/2020,3/19/2020,Structural Analysis Engineer,22.74,38,31.38,70.59270799
1863,Gutkowski-Bayer,Life Insurance,11/18/2020,11/29/2020,Web Designer I,8.97,38,12.38,71.55821079
1477,Powlowski-Bernhard,Shoe Manufacturing,7/1/2020,7/13/2020,Engineer II,9.34,21,11.30,73.91615402
1219,Torp-Welch,n/a,3/26/2020,4/7/2020,Technical Writer,17.95,28,22.98,74.09376567
1249,"Gerlach, Waters and Prohaska",Semiconductors,4/6/2020,4/18/2020,Assistant Manager,24.42,31,31.99,74.83792602
1347,"Heaney, Langosh and Jones",n/a,5/9/2020,5/21/2020,Occupational Therapist,12.1,37,16.58,74.91428397
1364,Lockman Inc,n/a,5/14/2020,5/27/2020,Dental Hygienist,22.08,24,27.38,79.33921774
1620,"Botsford, Farrell and Lesch",Property-Casualty Insurers,8/24/2020,9/6/2020,Professor,24.22,31,31.73,80.43168927
1684,"Mayer, Balistreri and Brakus",Water Supply,9/14/2020,9/27/2020,Budget/Accounting Analyst I,28.43,33,37.81,83.00048685
1394,Mayer Group,Steel/Iron Ore,5/26/2020,6/8/2020,Professor,20.66,30,26.86,83.49099331
1640,Mosciski LLC,Biotechnology: Biological Products (No Diagnostic Substances),9/1/2020,9/15/2020,Software Test Engineer IV,21.34,38,29.45,86.55280706
1487,Vandervort Inc,Major Banks,7/4/2020,7/18/2020,Financial Advisor,18.59,35,25.10,86.81209874
1680,"Kassulke, Smitham and Marvin",Investment Managers,9/14/2020,9/28/2020,Administrative Assistant II,19.86,37,27.21,87.99399378
1157,Huel LLC,Major Banks,3/2/2020,3/16/2020,Developer IV,8.36,34,11.20,88.1291658
1346,Gorczany-Reynolds,n/a,5/9/2020,5/24/2020,Executive Secretary,15.81,25,19.76,90.97341828
1608,Erdman-Thompson,Telecommunications Equipment,8/19/2020,9/3/2020,Associate Professor,19.37,33,25.76,91.19104597
1767,Rippin and Sons,Other Consumer Services,10/14/2020,10/29/2020,Graphic Designer,22.28,30,28.96,91.54127959
1067,"Kreiger, Balistreri and Langosh",n/a,1/25/2020,2/9/2020,Environmental Specialist,10.83,31,14.19,92.5780304
1277,"Shanahan, Lockman and Pollich",Wholesale Distributors,4/16/2020,5/1/2020,VP Quality Control,14.51,21,17.56,93.16792852
1181,Tremblay-Wiza,n/a,3/10/2020,3/25/2020,Developer II,22.18,34,29.72,93.51937358
1686,Stanton and Sons,n/a,9/15/2020,9/30/2020,Recruiter,17.35,39,24.12,93.91637721
1531,Erdman Inc,Commercial Banks,7/23/2020,8/7/2020,Paralegal,11.07,45,16.05,94.68690633
1060,Lehner and Sons,Oil & Gas Production,1/22/2020,2/6/2020,Research Assistant IV,10.29,38,14.20,95.43602494
1078,"Romaguera, Jacobs and Prosacco",Precious Metals,1/27/2020,2/11/2020,Research Associate,12.21,33,16.24,95.98873674
1879,Boyer and Sons,Building Materials,11/24/2020,12/10/2020,Computer Systems Analyst I,25.3,23,31.12,97.73312014
1808,Batz LLC,Oil & Gas Production,10/29/2020,11/14/2020,Web Designer III,14.02,32,18.51,98.03437044
1935,White-Cummings,Real Estate Investment Trusts,12/10/2020,12/26/2020,Account Executive,14.56,41,20.53,98.83288019
1532,"Brekke, Rath and Bergnaum",Major Pharmaceuticals,7/23/2020,8/8/2020,Research Nurse,12.27,33,16.32,99.89010281
1172,Weber and Sons,Investment Managers,3/7/2020,3/23/2020,Community Outreach Specialist,8.22,43,11.75,100.0380929
1886,"Schowalter, Reichert and Fritsch",Computer peripheral equipment,11/26/2020,12/12/2020,Registered Nurse,29.27,20,35.12,100.595097
1806,"Marquardt, Feeney and Leuschke",Coal Mining,10/28/2020,11/13/2020,Chemical Engineer,21.09,27,26.78,100.776023
1759,Dickens LLC,Real Estate Investment Trusts,10/12/2020,10/28/2020,Web Designer II,13.19,36,17.94,101.1340536
1718,Nader and Sons,Major Pharmaceuticals,9/26/2020,10/12/2020,Senior Developer,27.07,42,38.44,101.336438
1505,Stiedemann-Beatty,n/a,7/13/2020,7/29/2020,Help Desk Operator,29.62,42,42.06,101.6360997
1514,Stiedemann Inc,Real Estate,7/17/2020,8/3/2020,Legal Assistant,13.06,31,17.11,102.0688759
1130,"Hahn, Nikolaus and Altenwerth",Metal Fabrications,2/15/2020,3/3/2020,Marketing Assistant,11.91,30,15.48,102.4855202
1334,Hoppe-Wiegand,Hotels/Resorts,5/5/2020,5/22/2020,Operator,28.21,45,40.90,102.9760226
1569,"Hermann, Reichert and Stehr",Investment Bankers/Brokers/Service,8/7/2020,8/24/2020,Legal Assistant,15.54,38,21.45,103.242039
1527,Nolan-Harvey,n/a,7/21/2020,8/7/2020,VP Accounting,7.27,27,9.23,103.748601
1342,Murazik-Carroll,Major Chemicals,5/8/2020,5/25/2020,Compensation Analyst,25.32,23,31.14,104.4897617
1625,White Inc,n/a,8/26/2020,9/12/2020,VP Marketing,18.52,43,26.48,104.8674331
1179,Rempel Inc,Real Estate Investment Trusts,3/9/2020,3/26/2020,Geological Engineer,27.87,26,35.12,105.9389895
1438,"Brown, Kertzmann and Cronin",EDP Services,6/17/2020,7/4/2020,Nurse Practicioner,18.95,30,24.64,105.9822146
1831,Kutch-Raynor,Business Services,11/7/2020,11/24/2020,Research Nurse,16.18,26,20.39,107.5696634
1244,"Emard, Swift and Beier",n/a,4/5/2020,4/23/2020,Sales Associate,23.66,41,33.36,109.2938178
1632,Lang-Braun,Power Generation,8/29/2020,9/16/2020,Project Manager,29.62,30,38.51,109.4748046
1114,"Kuphal, Heathcote and Williamson",Major Banks,2/11/2020,2/29/2020,Software Engineer IV,9.52,40,13.33,110.8418545
1259,Pfannerstill Inc,n/a,4/9/2020,4/27/2020,VP Accounting,10.14,36,13.79,113.8331442
1040,Grady-Rau,n/a,1/13/2020,1/31/2020,Environmental Specialist,12.16,43,17.39,113.9111872
1086,Reilly-Metz,n/a,2/1/2020,2/20/2020,Chemical Engineer,9.41,23,11.57,114.1286806
1427,Schroeder-Lowe,Commercial Banks,6/12/2020,7/1/2020,VP Accounting,9.98,33,13.27,114.4886775
1906,Wilkinson-Frami,n/a,12/1/2020,12/20/2020,Environmental Tech,10.7,45,15.52,114.6935597
1424,Leffler Inc,Services-Misc. Amusement & Recreation,6/11/2020,6/30/2020,Office Assistant I,21.42,36,29.13,115.3326354
1224,Bahringer-Cremin,n/a,3/27/2020,4/15/2020,Assistant Manager,23.41,36,31.84,115.8537013
1100,"Goldner, Schaefer and Runolfsson",Biotechnology: Laboratory Analytical Instruments,2/7/2020,2/26/2020,Administrative Officer,7.66,29,9.88,115.8832516
1104,"Schimmel, Shanahan and Kuhic",Oil & Gas Production,2/8/2020,2/27/2020,Administrative Assistant IV,12.29,44,17.70,116.3654814
1525,"Stark, Homenick and Brakus",Ophthalmic Goods,7/21/2020,8/9/2020,Food Chemist,13.74,39,19.10,116.4593275
1596,"Stanton, Miller and Kub",Industrial Specialties,8/15/2020,9/3/2020,Research Nurse,16.47,22,20.09,116.8448517
1382,"Sanford, Zulauf and Pfeffer",n/a,5/21/2020,6/9/2020,Media Manager I,22.24,40,31.14,117.0672927
1970,Nikolaus Group,Integrated oil Companies,12/21/2020,1/9/2021,Editor,13.8,45,20.01,117.2818609
1657,Williamson LLC,Major Pharmaceuticals,9/6/2020,9/25/2020,Nuclear Power Engineer,24.05,24,29.82,119.5121273
1747,Mitchell Inc,Restaurants,10/7/2020,10/26/2020,Senior Financial Analyst,23.95,27,30.42,119.8531474
1820,Jacobi Group,n/a,11/1/2020,11/21/2020,Business Systems Development Analyst,18.82,44,27.10,120.0828779
1985,Spencer-Ankunding,n/a,12/27/2020,1/16/2021,VP Marketing,9.77,45,14.17,121.2794107
1127,Leffler-Runolfsdottir,Farming/Seeds/Milling,2/15/2020,3/6/2020,Information Systems Manager,28.52,30,37.08,121.9913435
1251,Sporer-Bradtke,n/a,4/7/2020,4/27/2020,Civil Engineer,26.12,31,34.22,122.0840939
1655,Denesik Group,n/a,9/5/2020,9/25/2020,Staff Scientist,16.2,45,23.49,122.8761791
1223,Huels-Rice,Commercial Banks,3/27/2020,4/16/2020,Teacher,16.55,30,21.52,123.0968233
1260,Terry-Weber,Precious Metals,4/9/2020,4/29/2020,Sales Associate,26.4,23,32.47,123.2125598
1801,"Kovacek, Boehm and Beatty",Major Banks,10/25/2020,11/14/2020,Engineer I,21.55,32,28.45,123.430409
1292,"Goyette, Rice and Greenholt",n/a,4/19/2020,5/9/2020,Structural Analysis Engineer,27.97,37,38.32,124.2256248
1910,"Dickens, Torphy and Terry",n/a,12/3/2020,12/23/2020,Media Manager III,9.33,36,12.69,124.694018
1308,Schinner-Gutmann,n/a,4/24/2020,5/15/2020,Associate Professor,13.11,27,16.65,126.3503608
1823,"Renner, Veum and Hane",Integrated oil Companies,11/3/2020,11/24/2020,VP Quality Control,28.42,43,40.64,126.9747646
1624,McLaughlin LLC,n/a,8/26/2020,9/16/2020,VP Accounting,25.85,20,31.02,127.6341441
1961,Hayes-Hamill,Investment Managers,12/19/2020,1/9/2021,Occupational Therapist,20.03,33,26.64,128.5930438
1928,Adams-Mayer,Real Estate Investment Trusts,12/8/2020,12/29/2020,Research Assistant III,8.1,25,10.13,130.2156403
1647,"Gusikowski, Cummings and King",Major Pharmaceuticals,9/3/2020,9/24/2020,Account Coordinator,25.47,42,36.17,131.9574202
1523,Prosacco-Bashirian,Semiconductors,7/20/2020,8/11/2020,Data Coordiator,7.58,25,9.48,132.3669178
1407,Rogahn-Lowe,Oil/Gas Transmission,6/4/2020,6/26/2020,Financial Advisor,10.67,20,12.80,132.4354881
1538,Mayer-Purdy,n/a,7/24/2020,8/15/2020,Senior Financial Analyst,21.46,23,26.40,132.7149615
1866,"Larson, Koss and O'Keefe",Business Services,11/18/2020,12/10/2020,Environmental Specialist,22.4,32,29.57,132.9827619
1332,"Zieme, Emard and Barrows",Real Estate Investment Trusts,5/4/2020,5/26/2020,Computer Systems Analyst IV,20.28,27,25.76,133.5233788
1799,Dibbert Group,Professional Services,10/25/2020,11/16/2020,Quality Engineer,25.05,26,31.56,134.2418461
1637,O'Keefe-McDermott,Other Consumer Services,8/30/2020,9/21/2020,Staff Accountant I,16.82,41,23.72,135.5317105
1878,Lowe-Sanford,n/a,11/24/2020,12/16/2020,Nurse,16.39,31,21.47,137.8748624
1793,Quitzon-Dickens,n/a,10/23/2020,11/15/2020,Junior Executive,28.84,36,39.22,138.1402508
1882,"Fay, Emmerich and Torp",Auto Parts:O.E.M.,11/25/2020,12/18/2020,Marketing Assistant,22.13,35,29.88,138.7080325
1795,"Lang, Kerluke and Ziemann",n/a,10/24/2020,11/16/2020,Professor,21.05,20,25.26,139.6087396
1090,"Jacobson, Lindgren and Jerde",Major Banks,2/2/2020,2/25/2020,Marketing Assistant,13.82,38,19.07,140.425715
1378,"Wyman, Considine and Kemmer",Savings Institutions,5/20/2020,6/12/2020,Office Assistant I,14.2,37,19.45,141.9219025
1129,Walker-Fadel,Other Consumer Services,2/15/2020,3/9/2020,Account Coordinator,16.53,40,23.14,142.0758389
1388,Hirthe and Sons,Biotechnology: Biological Products (No Diagnostic Substances),5/23/2020,6/15/2020,Quality Control Specialist,8.12,39,11.29,142.4061199
1852,Ziemann LLC,Automotive Aftermarket,11/16/2020,12/9/2020,Human Resources Manager,9.65,43,13.80,142.5626577
1689,Stanton-Leannon,Trucking Freight/Courier Services,9/16/2020,10/9/2020,Mechanical Systems Engineer,16.96,22,20.69,142.7508408
1706,Douglas-Kuhic,Metal Fabrications,9/22/2020,10/15/2020,Professor,23.05,28,29.50,143.1755916
1371,"Klein, Powlowski and Berge",Medical/Dental Instruments,5/17/2020,6/10/2020,VP Product Management,13.51,45,19.59,146.2204276
1406,Paucek-Kshlerin,Auto Parts:O.E.M.,6/3/2020,6/27/2020,Desktop Support Technician,8.6,45,12.47,146.5303862
1816,Schiller-Stokes,Major Pharmaceuticals,10/31/2020,11/24/2020,Senior Financial Analyst,17.26,41,24.34,147.6581511
1052,Beatty Inc,Investment Bankers/Brokers/Service,1/17/2020,2/10/2020,Registered Nurse,28.04,21,33.93,148.0981811
1661,"Streich, Pagac and Towne",Department/Specialty Retail Stores,9/8/2020,10/2/2020,Business Systems Development Analyst,9.16,20,10.99,148.8934928
1784,Frami LLC,Major Pharmaceuticals,10/20/2020,11/14/2020,Nurse Practicioner,23.83,42,33.84,150.0467918
1896,"Langosh, Paucek and Mann","Computer Software: Programming, Data Processing",11/27/2020,12/22/2020,Director of Sales,17.89,25,22.36,153.5182603
1256,Hilll-Schuster,Major Banks,4/8/2020,5/3/2020,Nuclear Power Engineer,9.73,29,12.55,154.2392372
1417,"Heaney, Becker and Stokes",Newspapers/Magazines,6/7/2020,7/2/2020,Senior Financial Analyst,25.46,29,32.84,154.4187389
1370,"Dibbert, Ritchie and Kiehn",Oil & Gas Production,5/16/2020,6/11/2020,Programmer IV,8.61,35,11.62,156.6256809
1123,Abbott Inc,Television Services,2/14/2020,3/11/2020,Budget/Accounting Analyst III,27.8,41,39.20,157.2836717
1903,"Bosco, Spencer and Schamberger",n/a,11/30/2020,12/26/2020,Editor,9.79,34,13.12,158.1788409
1512,"Stokes, Shanahan and Bashirian",Newspapers/Magazines,7/16/2020,8/11/2020,Speech Pathologist,16.32,35,22.03,158.7292711
1111,"Gerlach, Herzog and Hammes",Real Estate Investment Trusts,2/11/2020,3/8/2020,Safety Technician IV,18.96,45,27.49,159.7904353
1484,"Auer, Schinner and Ernser",Business Services,7/3/2020,7/29/2020,Sales Representative,16.73,21,20.24,159.8589698
1607,"Haag, Schuppe and Hane",Business Services,8/19/2020,9/14/2020,Financial Advisor,28.58,27,36.30,160.0782995
1139,Jacobson and Sons,Power Generation,2/21/2020,3/18/2020,Environmental Specialist,23.81,43,34.05,160.6753429
1987,Schowalter-Bruen,Coal Mining,12/27/2020,1/22/2021,Dental Hygienist,26.27,26,33.10,161.4195782
1912,Schultz-Lueilwitz,Telecommunications Equipment,12/3/2020,12/29/2020,Senior Financial Analyst,14.07,39,19.56,161.5499114
1955,"Maggio, Morissette and Friesen",n/a,12/18/2020,1/14/2021,Systems Administrator III,22.4,43,32.03,162.2184922
1389,Kuphal LLC,Electric Utilities: Central,5/23/2020,6/19/2020,Automation Specialist IV,7.6,25,9.50,162.796519
1534,McClure-Wuckert,Power Generation,7/23/2020,8/19/2020,Chemical Engineer,11.67,33,15.52,164.798115
1088,"Pagac, Oberbrunner and Goodwin",Life Insurance,2/2/2020,2/29/2020,Structural Analysis Engineer,9.82,24,12.18,165.3531582
1994,Balistreri-Russel,Medical/Dental Instruments,12/28/2020,1/24/2021,Tax Accountant,29.61,45,42.93,165.5225555
1418,"Stark, Dietrich and Kerluke",Marine Transportation,6/8/2020,7/5/2020,Help Desk Technician,17.58,28,22.50,165.904188
